donor;donorHttpStatus;acceptor;oldHostAcceptorEntryCount;oldHostEntryCount;newHostAcceptorEntryCount;newHostEntryCount
https://otvet.mail.ru/question/221062759;OK;https://money.yandex.ru/cards/virtual;1;1;0;0
https://setup.ru/client/news/317;OK;http://money.yandex.ru/doc.xml?id=522764;0;1;0;0
https://kommersant.ru/doc/3100111;OK;http://money.yandex.ru/;0;1;0;0
https://1gb.ua/wiki/index.php?title=%D0%A1%D1%82%D0%B0%D1%82%D0%B8%D1%81%D1%82%D0%B8%D0%BA%D0%B0_%D0%BF%D0%BE%D1%81%D0%B5%D1%89%D0%B5%D0%BD%D0%B8%D0%B9_%D1%81%D0%B0%D0%B9%D1%82%D0%B0&diff=248&oldid=177;OK;http://money.yandex.ru/;1;1;0;0
http://prostoprint.com/pages/payment/;OK;http://money.yandex.ru/;0;1;0;0
https://wiki.webmoney.ru/projects/webmoney/wiki/%D0%9F%D1%80%D0%B8%D0%B2%D1%8F%D0%B7%D0%BA%D0%B0_%D0%BA%D0%BE%D1%88%D0%B5%D0%BB%D1%8C%D0%BA%D0%B0_%D0%AF%D0%BD%D0%B4%D0%B5%D0%BA%D1%81_%D0%94%D0%B5%D0%BD%D1%8C%D0%B3%D0%B8;OK;https://money.yandex.ru/;2;2;0;0
https://free-kassa.ru/faq.php;OK;http://money.yandex.ru/prepaid/;2;6;0;0
https://thehost.ua/wiki/change-payment;OK;https://money.yandex.ru/;0;1;0;0
https://domenus.ru/information/pay;OK;https://money.yandex.ru/pay/doc.xml?id=526209&cps_theme=default;0;0;0;0
https://phpbbguru.net/community/viewtopic.php?f=23&t=42022;OK;https://money.yandex.ru/i/forms/guide-to-custom-p2p-forms.pdf;0;1;0;0
https://usocial.pro/;OK;https://money.yandex.ru/;0;0;0;0
https://walletone.com/ru/merchant/payments/;OK;https://money.yandex.ru/;1;1;0;0
http://liveforums.ru/top/details-razvlecheniy-lf.html;OK;https://money.yandex.ru/prepaid.xml.;1;2;0;0
https://alfabank.ru/everyday/online/alfaclick/transfer/e-money/;OK;https://money.yandex.ru/;2;2;0;0
http://august4u.net/?tarif;OK;http://money.yandex.ru/;1;1;0;0
https://ispsystem.ru/news/hosting-business-part-1;OK;https://money.yandex.ru/;0;1;0;0
https://autokadabra.ru/shouts/56603;OK;https://money.yandex.ru/security/identification/;1;1;0;0
https://moskva.beeline.ru/customers/products/mobile/bonus/details/10-ot-summi-avtopopolneniy-ot-yandeksdengi/;OK;https://money.yandex.ru/doc.xml?id=527485;0;1;0;0
http://merchium.ru/pricing/;OK;https://money.yandex.ru/;0;1;0;0
https://artnow.ru/ru/articles/0/3.html;OK;http://money.yandex.ru/prepaid.xml;1;1;0;0
https://steelsite.ru/;OK;https://money.yandex.ru/;0;1;0;0
https://uscript.pro/shop/167/item/prijom-platezhej-na-sajte;OK;https://money.yandex.ru/;2;2;0;0
http://wmmail.ru/index.php?cf=otvet-viewvopros&type=50&vid=71552&p=1&i_search=1&i_name=&cat=0&subcat=0&bezo=0&uid=2545671&cmid=975406;OK;https://money.yandex.ru/security/identification/methods.xml;2;5;0;0
https://joyson.ru/dostavka-i-oplata.html;OK;https://money.yandex.ru/prepaid/?from=imainprep;0;1;0;0
https://cackle.me/privacy;OK;https://money.yandex.ru/;0;1;0;0
https://hoster.ru/our-partners;OK;https://money.yandex.ru/;0;0;0;0
https://lifehacker.ru/shtrafy-gibdd/;OK;https://money.yandex.ru/debts/;1;1;0;0
